,_time,chainName,activeValidators,apr,blockHeight,blockTime,bondedTokens,communityTokens,inflation,jailedValidators,supplyTokens,totalValidators,tps,txs
97,2023-01-26 09:00:00+00:00,cosmos,175,0.210013185,13819142,6.4417143,204691000000000.0,1845930000000.0,0.146530026,326,325969000000000.0,501,0.820028785,29117706
98,2023-01-26 10:00:00+00:00,cosmos,175,0.210027491,13819697,6.4470927,204692000000000.0,1846540000000.0,0.146538016,326,325975000000000.0,501,0.568504832,29119303
99,2023-01-26 11:00:00+00:00,cosmos,175,0.21004204,13820260,6.4437828,204693000000000.0,1847160000000.0,0.146546195,326,325981000000000.0,501,0.351493849,29120639
100,2023-01-26 12:00:00+00:00,cosmos,175,0.210035783,13820821,6.4424559,204715000000000.0,1847780000000.0,0.146554313,326,325988000000000.0,501,0.363485305,29121758
101,2023-01-26 13:00:00+00:00,cosmos,175,0.210031394,13821380,6.442847,204734000000000.0,1848390000000.0,0.146562419,326,325994000000000.0,501,0.506691827,29123162
102,2023-01-26 14:00:00+00:00,cosmos,175,0.210055999,13821941,6.44259,204725000000000.0,1849010000000.0,0.146570513,326,326000000000000.0,501,0.297864139,29124518
103,2023-01-26 15:00:00+00:00,cosmos,175,0.210068147,13822503,6.4410207,204726000000000.0,1849530000000.0,0.146577316,326,326005000000000.0,501,0.435304975,29125782
104,2023-01-26 16:00:00+00:00,cosmos,175,0.210072976,13823067,6.4352911,204737000000000.0,1850150000000.0,0.146585484,326,326011000000000.0,501,0.537159294,29127389
105,2023-01-26 17:00:00+00:00,cosmos,175,0.210075895,13823627,6.4363936,204749000000000.0,1850770000000.0,0.146593575,326,326017000000000.0,501,0.48480651,29128802
106,2023-01-26 18:00:00+00:00,cosmos,175,0.210083499,13824184,6.4374585,204757000000000.0,1851390000000.0,0.146601633,326,326024000000000.0,501,0.432391297,29130420
107,2023-01-26 19:00:00+00:00,cosmos,175,0.210035796,13824746,6.4361662,204818000000000.0,1852000000000.0,0.146609686,326,326030000000000.0,501,0.500457314,29132005
108,2023-01-26 20:00:00+00:00,cosmos,175,0.21002099,13825310,6.4341275,204848000000000.0,1852620000000.0,0.146617759,326,326036000000000.0,501,0.27470515,29133475
109,2023-01-26 21:00:00+00:00,cosmos,175,0.210034398,13825872,6.4290685,204850000000000.0,1853240000000.0,0.146625811,326,326042000000000.0,501,0.486533449,29134841
110,2023-01-26 22:00:00+00:00,cosmos,175,0.211230474,13826436,6.4231531,203706000000000.0,1853860000000.0,0.146634066,326,326048000000000.0,501,0.512724103,29136472
111,2023-01-26 23:00:00+00:00,cosmos,175,0.211248466,13826993,6.4272325,203704000000000.0,1854480000000.0,0.146642723,326,326054000000000.0,501,0.682833204,29138349
112,2023-01-27 00:00:00+00:00,cosmos,175,0.211222293,13827549,6.4294783,203745000000000.0,1855090000000.0,0.146651387,326,326061000000000.0,501,0.69181411,29140460
113,2023-01-27 01:00:00+00:00,cosmos,175,0.211301397,13828113,6.4243602,203685000000000.0,1855710000000.0,0.146660143,326,326067000000000.0,501,0.671083197,29142323
114,2023-01-27 02:00:00+00:00,cosmos,175,0.211293984,13828674,6.4219443,203708000000000.0,1856330000000.0,0.146668869,326,326073000000000.0,501,0.59879153,29145750
115,2023-01-27 03:00:00+00:00,cosmos,175,0.211284009,13829234,6.4214255,203734000000000.0,1856950000000.0,0.146677619,326,326079000000000.0,501,0.345990831,29147698
116,2023-01-27 04:00:00+00:00,cosmos,175,0.211291694,13829784,6.4234063,203742000000000.0,1857560000000.0,0.146686158,326,326085000000000.0,501,0.51889648,29149634
117,2023-01-27 05:00:00+00:00,cosmos,175,0.211299741,13830345,6.4259704,203750000000000.0,1858170000000.0,0.146694833,326,326091000000000.0,501,0.552600677,29151587
118,2023-01-27 06:00:00+00:00,cosmos,175,0.211314675,13830905,6.4258341,203752000000000.0,1858790000000.0,0.146703556,326,326098000000000.0,501,0.625271385,29153549
119,2023-01-27 07:00:00+00:00,cosmos,175,0.211321173,13831466,6.4250228,203761000000000.0,1859410000000.0,0.146712246,326,326104000000000.0,501,0.450458255,29155482
120,2023-01-27 08:00:00+00:00,cosmos,175,0.211341151,13832031,6.422105,203758000000000.0,1860030000000.0,0.146721029,326,326110000000000.0,501,0.53394215,29156962
121,2023-01-27 09:00:00+00:00,cosmos,175,0.211341004,13832592,6.4227286,203774000000000.0,1860650000000.0,0.146729715,326,326116000000000.0,501,0.489561842,29158347
122,2023-01-27 10:00:00+00:00,cosmos,175,0.21135432,13833148,6.4282221,203777000000000.0,1861270000000.0,0.146738385,326,326122000000000.0,501,0.456084341,29159660
123,2023-01-27 11:00:00+00:00,cosmos,175,0.211303367,13833707,6.427136,203842000000000.0,1861880000000.0,0.146747061,326,326128000000000.0,501,0.252167061,29160916
124,2023-01-27 12:00:00+00:00,cosmos,175,0.211224324,13834271,6.4243644,203934000000000.0,1862500000000.0,0.14675568,326,326135000000000.0,501,0.363397245,29161991
125,2023-01-27 13:00:00+00:00,cosmos,175,0.2112401,13834835,6.4233176,203935000000000.0,1863120000000.0,0.146764325,326,326141000000000.0,501,0.328384521,29163110
126,2023-01-27 14:00:00+00:00,cosmos,175,0.211248445,13835399,6.4234741,203943000000000.0,1863740000000.0,0.146772987,326,326147000000000.0,501,0.174828231,29164182
127,2023-01-27 15:00:00+00:00,cosmos,175,0.21125611,13835957,6.4258906,203951000000000.0,1864360000000.0,0.146781584,326,326153000000000.0,501,0.203548529,29165212
128,2023-01-27 16:00:00+00:00,cosmos,175,0.211272677,13836516,6.4288154,203951000000000.0,1864980000000.0,0.14679018,327,326159000000000.0,502,0.512925728,29166741
129,2023-01-27 17:00:00+00:00,cosmos,175,0.21128661,13837080,6.4228613,203954000000000.0,1865610000000.0,0.146798931,327,326166000000000.0,502,0.31262643,29167916
130,2023-01-27 18:00:00+00:00,cosmos,175,0.211296641,13837641,6.4202985,203960000000000.0,1866230000000.0,0.146807575,327,326172000000000.0,502,0.329643638,29169393
131,2023-01-27 19:00:00+00:00,cosmos,175,0.211357557,13838202,6.423638,203917000000000.0,1866850000000.0,0.146816224,327,326178000000000.0,502,0.377035133,29170765
132,2023-01-27 20:00:00+00:00,cosmos,175,0.21137037,13838751,6.429016,203920000000000.0,1867450000000.0,0.146824679,327,326184000000000.0,502,0.408045293,29172163
133,2023-01-27 21:00:00+00:00,cosmos,175,0.211380457,13839289,6.4428944,203926000000000.0,1868050000000.0,0.146833027,327,326190000000000.0,502,0.460536764,29173592
134,2023-01-27 22:00:00+00:00,cosmos,175,0.211220237,13839833,6.4482412,204096000000000.0,1868650000000.0,0.146841338,327,326196000000000.0,502,0.57368357,29175004
135,2023-01-27 23:00:00+00:00,cosmos,175,0.211234412,13840376,6.4591203,204097000000000.0,1869250000000.0,0.146849576,327,326202000000000.0,502,0.602198023,29176460
