chainName,fig1,fig2,corr,p_values
juno,totalVolume,supplyCirculating,-0.6595788838787179,5.274476348662108e-305
juno,totalVolume,apr,0.6305104664087815,6.419570428548446e-271
juno,totalVolume,bondedTokens,-0.6257780829890466,1.0372919269045935e-265
juno,totalVolume,inflation,0.6784839987081017,0.0
juno,totalVolume,capBTC,0.7008070445259046,0.0
juno,totalVolume,priceBTC,0.7034000569029698,0.0
juno,totalVolume,totalVolumeBTC,0.9786795490184464,0.0
juno,apr,cap,0.8846907869435139,0.0
juno,apr,high24h,0.903352977387044,0.0
juno,apr,low24h,0.8949520616618877,0.0
juno,apr,price,0.8983122951679491,0.0
juno,apr,priceChangePercentage30D,0.5458436953642065,9.254252594933469e-190
juno,apr,supplyCirculating,-0.9807983350452592,0.0
juno,apr,totalVolume,0.6305104664087815,6.419570428548446e-271
juno,apr,bondedTokens,-0.9998002434861911,0.0
juno,apr,communityTokens,0.8671592832597148,0.0
juno,apr,inflation,0.9669782669662095,0.0
juno,apr,capBTC,0.9191597728046035,0.0
juno,apr,priceBTC,0.9222339769467098,0.0
juno,apr,totalVolumeBTC,0.6896744001055194,0.0
juno,bondedTokens,cap,-0.8806552412930027,0.0
juno,bondedTokens,high24h,-0.8990796857176413,0.0
juno,bondedTokens,low24h,-0.8907694648014547,0.0
juno,bondedTokens,price,-0.8940461265658688,0.0
juno,bondedTokens,priceChangePercentage30D,-0.5376975170187541,3.940450834073551e-183
juno,bondedTokens,supplyCirculating,0.9789640935451633,0.0
juno,bondedTokens,totalVolume,-0.6257780829890466,1.0372919269045935e-265
juno,bondedTokens,apr,-0.9998002434861911,0.0
juno,bondedTokens,communityTokens,-0.8699862123821541,0.0
juno,bondedTokens,inflation,-0.9634635077258044,0.0
juno,bondedTokens,capBTC,-0.914572523490781,0.0
juno,bondedTokens,priceBTC,-0.9174779828847167,0.0
juno,bondedTokens,totalVolumeBTC,-0.6845714374162086,0.0
juno,communityTokens,cap,0.651145199503779,9.976329736511357e-295
juno,communityTokens,high24h,0.6795004293872974,0.0
juno,communityTokens,low24h,0.6659050526911928,6.1918912513e-313
juno,communityTokens,price,0.672915589890956,5.93e-322
juno,communityTokens,supplyCirculating,-0.8772168017517619,0.0
juno,communityTokens,apr,0.8671592832597148,0.0
juno,communityTokens,bondedTokens,-0.8699862123821541,0.0
juno,communityTokens,inflation,0.8008314294102487,0.0
juno,communityTokens,capBTC,0.7170756510312964,0.0
juno,communityTokens,priceBTC,0.7228961097076287,0.0
juno,communityTokens,totalVolumeBTC,0.5334027877419828,1.0421813617355792e-179
juno,inflation,cap,0.9441609412691915,0.0
juno,inflation,high24h,0.9606249042964191,0.0
juno,inflation,low24h,0.9537602298828316,0.0
juno,inflation,price,0.9561922363316593,0.0
juno,inflation,priceChangePercentage14d,0.5044394563112163,7.180763506974592e-158
juno,inflation,priceChangePercentage30D,0.6710155442995055,1.74346e-319
juno,inflation,supplyCirculating,-0.988627319650193,0.0
juno,inflation,totalVolume,0.6784839987081017,0.0
juno,inflation,apr,0.9669782669662095,0.0
juno,inflation,bondedTokens,-0.9634635077258044,0.0
juno,inflation,communityTokens,0.8008314294102487,0.0
